roi1,extroi1,roi2,extroi2,roi3,extroi3,roi4,extroi4,roiexc1,extroiexc1,roiexc2,extroiexc2,dilroi1,dilroi2,dilroi3,dilroi4,dilroiexc1,dilroiexc2,evaluation,bidir,label,fgnum,hemi,slabel,shemi,nhlabel,wbt,usecortex,tckmaxlen,tckminlen,tckangle,algorithm,select,cutoff,maxDist,maxLen,numNodes,meanmed,maxIter
ATR_roi1_L,.nii.gz,ATR_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Thalamic_Radiation,1,Left,LTR,L,TR,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
ATR_roi1_R,.nii.gz,ATR_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Thalamic_Radiation,2,Right,RTR,R,TR,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
CST_roi1_L,.nii.gz,CST_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Corticospinal,3,Left,LCST,L,CST,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
CST_roi1_R,.nii.gz,CST_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Corticospinal,4,Right,RCST,R,CST,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
CGC_roi1_L,.nii.gz,CGC_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Cingulum_Cingulate,5,Left,LCC,L,CC,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
CGC_roi1_R,.nii.gz,CGC_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Cingulum_Cingulate,6,Right,RCC,R,CC,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
HCC_roi1_L,.nii.gz,HCC_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Cingulum_Hippocampus,7,Left,LCH,L,CH,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
HCC_roi1_R,.nii.gz,HCC_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Cingulum_Hippocampus,8,Right,RCH,R,CH,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
FP_R,.nii.gz,FP_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,0,0,0,0,0,0,0,0,Callosum_Forceps_Major,9,Left,CFMaj,L,CFMAJ,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
FA_L,.nii.gz,FA_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,0,0,0,0,0,0,1,0,Callosum_Forceps_Minor,10,Right,CFMin,R,CFMIN,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
IFO_roi1_L,.nii.gz,IFO_roi2_L,.nii.gz,IFO_roi3_L,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,0,0,Left_IFOF,11,Left,LIFOF,L,IFOF,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
IFO_roi1_R,.nii.gz,IFO_roi2_R,.nii.gz,IFO_roi3_R,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,0,0,Right_IFOF,12,Right,RIFO,R,IFO,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
ILF_roi1_L,.nii.gz,ILF_roi2_L,.nii.gz,ILF_roi3_L,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_ILF,13,Left,LILF,L,ILF,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
ILF_roi1_R,.nii.gz,ILF_roi2_R,.nii.gz,ILF_roi3_R,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_ILF,14,Right,RILF,R,ILF,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
SLF_roi1_L,.nii.gz,SLF_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_SLF,15,Left,LSLF,L,SLF,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
SLF_roi1_R,.nii.gz,SLF_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_SLF,16,Right,RSLF,R,SLF,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
UNC_roi1_L,.nii.gz,UNC_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Uncinate,17,Left,LUF,L,UF,1,0,100,10,45,iFOD2,5000,0.1,3,3,100,median,3
UNC_roi1_R,.nii.gz,UNC_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Uncinate,18,Right,RUF,R,UF,1,0,100,10,45,iFOD2,5000,0.1,3,3,100,median,3
SLF_roi1_L,.nii.gz,SLFt_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Arcuate,19,Left,LAF,L,AF,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
SLF_roi1_R,.nii.gz,SLFt_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Arcuate,20,Right,RAF,R,AF,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
Left-LGN,.nii.gz,Left-V1,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,2,2,0,0,2,0,1,1,Left_Optic_Radiation_V1,21,Left,LORV1,L,ORV1,0,0,200,10,45,iFOD2,5000,0.05,3,3,100,median,1
Right-LGN,.nii.gz,Right-V1,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,2,2,0,0,2,0,1,1,Right_Optic_Radiation_V1,22,Right,RORV1,R,ORV1,0,0,200,10,45,iFOD2,5000,0.05,3,3,100,median,1
Left-LGN,.nii.gz,Left-V1_AND_Left-V2,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,2,2,0,0,2,0,1,1,Left_Optic_Radiation_V1V2,23,Left,LORV1V2,L,ORV1V2,0,0,200,10,45,iFOD2,5000,0.05,3,3,100,median,1
Right-LGN,.nii.gz,Right-V1_AND_Right-V2,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,2,2,0,0,2,0,1,1,Right_Optic_Radiation_V1V2,24,Right,RORV1V2,R,ORV1V2,0,0,200,10,45,iFOD2,5000,0.05,3,3,100,median,1
Left-LGN,.nii.gz,Left-V1_AND_Left-V2,.nii.gz,OR_roi3_L,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,2,2,0,0,2,0,1,1,Left_Optic_Radiation_V1V2R3,25,Left,LORV1V2R3,L,ORV1V2,0,0,200,10,45,iFOD2,5000,0.05,3,3,100,median,1
Right-LGN,.nii.gz,Right-V1_AND_Right-V2,.nii.gz,OR_roi3_R,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,2,2,0,0,2,0,1,1,Right_Optic_Radiation_V1V2R3,26,Right,RORV1V2R3,R,ORV1V2,0,0,200,10,45,iFOD2,5000,0.05,3,3,100,median,1
