,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94
M1,0.0069177234545350075,0.011608343571424484,0.0013844615314155817,0.001455359859392047,0.0015664531383663416,0.01068834401667118,0.012938360683619976,0.0015188197139650583,0.002638731151819229,0.016076181083917618,0.0017026927089318633,0.00251562288030982,0.35246700048446655,0.10770738124847412,0.0016204497078433633,0.0026170536875724792,0.017100250348448753,0.010239928960800171,0.002030589384958148,0.0061910864897072315,0.05024970695376396,0.013321559876203537,0.0024931938387453556,0.0018048108322545886,0.002758817281574011,0.0020970881450921297,0.0017948985332623124,0.05441473051905632,0.001620752620510757,0.003153298981487751,0.0016513022128492594,0.00170652917586267,0.0020321791525930166,0.0015614754520356655,0.1269548386335373,0.0034797359257936478,0.00246435240842402,0.0014846178237348795,0.004785589408129454,0.007652313448488712,0.0016170151066035032,0.002196037909016013,0.003144909394904971,0.008737945929169655,0.0014735055156052113,0.0015195345040410757,0.0016339170979335904,0.0017344059888273478,0.0015292514581233263,0.008007166907191277,0.0035852857399731874,0.0014462191611528397,0.0020924522541463375,0.0014778135810047388,0.006169523578137159,0.0019046228844672441,0.004496494308114052,0.001372013590298593,0.0025395769625902176,0.0013729225611314178,0.0015129947569221258,0.0014642267487943172,0.0022682712879031897,0.016790103167295456,0.0025501057971268892,0.01294680591672659,0.0013560119550675154,0.00718370545655489,0.0017897088546305895,0.0015285109402611852,0.0015342581318691373,0.021389774978160858,0.0018443628214299679,0.0018480787985026836,0.001624076277948916,0.0015145750949159265,0.002350834896788001,0.0019863219931721687
M2,0.04030025750398636,0.0263422429561615,0.001626891316846013,0.0001598970266059041,0.007025520317256451,0.016263294965028763,0.007512365467846394,0.005789813585579395,0.02217705175280571,0.022084876894950867,0.048011861741542816,0.006356681231409311,0.004173463210463524,0.005012958310544491,0.031297314912080765,0.00029084537527523935,0.000529915967490524,0.0010676600504666567,0.015587631613016129,0.0007935730973258615,0.006099522579461336,0.0025635615456849337,0.13361048698425293,0.2718396782875061,0.04491621255874634,0.006526813842356205,0.00046724555431865156,0.013391894288361073,0.0011315259616822004,0.0002601694723125547,0.0005742391222156584,0.0025653603952378035,0.011853126809000969,0.000203255724045448,0.0287313349545002,0.00039737301995046437,0.015769287943840027,0.00037508076638914645,0.006327948532998562,0.010431351140141487,0.004458898212760687,0.0007410816033370793,0.0010316271800547838,0.022367391735315323,0.0001538969954708591,0.009679703041911125,0.02501242235302925,0.018871691077947617,0.0003669306170195341,0.002450031926855445,0.0020601472351700068,0.00010645503789419308,0.0067877150140702724,0.0012690556468442082,0.00021516338165383786,0.00013650560867972672,0.00304970215074718,0.00024292292073369026,0.000262219225987792,0.00019514102314133197,0.0008648457005620003,0.0011315825395286083,0.0015870361821725965,0.02321632206439972,0.013385913334786892,0.005331908352673054,0.0006134524010121822,0.003254151437431574,0.002390403300523758,0.003917847294360399,0.00022416793217416853,0.0012602591887116432,0.001062837545759976,0.007770799100399017,0.00017298677994403988,0.0016696957172825933,0.012059083208441734,0.00018839037511497736
M3,0.01380726508796215,0.012806094251573086,0.01291743852198124,0.021137461066246033,0.0485718809068203,0.012261783704161644,0.0013130545848980546,0.0012566512450575829,0.0003244676918257028,0.008536974899470806,0.09086673706769943,0.004772349260747433,0.0003469687362667173,9.903853788273409e-05,0.0057272533886134624,0.0002180245064664632,0.0002465596189722419,0.19316242635250092,0.006626999471336603,0.00020922182011418045,0.003532813861966133,0.06455586850643158,0.0004398805904202163,0.008707375265657902,0.02019103243947029,0.03448641300201416,0.002650290261954069,0.006265608128160238,0.04679155349731445,0.0002488545433152467,0.0193856842815876,0.000684990081936121,0.007864962331950665,0.00020968049648217857,0.000705827260389924,0.006181883160024881,0.03317549079656601,0.00022272976639214903,0.0015756830107420683,0.005253956653177738,0.00743672763928771,0.0022913299035280943,0.01148833055049181,0.000985140330158174,0.00027853448409587145,0.006741263438016176,0.1464705765247345,0.0012997454032301903,0.003275747410953045,0.00025753307272680104,0.009681960567831993,0.0017206671182066202,0.004282040521502495,0.001518433215096593,0.000312734191538766,0.00022125703981146216,0.0036170193925499916,0.001198764774017036,0.0012429169146344066,0.0004773238906636834,0.003967076539993286,0.00022745149908587337,0.0004815167631022632,0.0004841259215027094,0.01322021335363388,0.00010125215339940041,0.00015242272638715804,0.0009336443617939949,0.006142127327620983,0.002707094419747591,0.0005380783113650978,0.00047525044647045434,0.0024030450731515884,0.0002611263480503112,0.0024461636785417795,0.042587749660015106,0.01834358274936676,0.0013907690299674869
M4,0.00607884768396616,0.0006651689182035625,0.002110209548845887,0.0014430449809879065,0.0017603272572159767,0.005096860229969025,0.0009863177547231317,0.07917061448097229,0.020015491172671318,0.015945661813020706,0.0010996002238243818,0.001775136450305581,0.0007023434154689312,0.0009604438091628253,0.0008957821410149336,0.0007214450743049383,0.001270104548893869,0.07209859788417816,0.0007016017334535718,0.0009755734354257584,0.02979172207415104,0.0017988842446357012,0.0007227368769235909,0.006157249677926302,0.0007322138408198953,0.0011262738844379783,0.021307174116373062,0.0010362741304561496,0.0008017480722628534,0.12045116722583771,0.019193224608898163,0.0008518336690030992,0.00171737652271986,0.000856284867040813,0.005962491035461426,0.0021489046048372984,0.001237998716533184,0.0018734383629634976,0.0007772983517497778,0.016230184584856033,0.0015638103941455483,0.0018890374340116978,0.0007100453949533403,0.06560058146715164,0.0012862618314102292,0.049189046025276184,0.001250702072866261,0.03190737962722778,0.012967914342880249,0.0007818989106453955,0.0013114893808960915,0.0018376139923930168,0.0010796827264130116,0.0009754226775839925,0.0021395927760750055,0.01035977527499199,0.0011147921904921532,0.0007271529175341129,0.0007439868059009314,0.012139501050114632,0.0011143425945192575,0.000668916676659137,0.0006214493187144399,0.015115851536393166,0.0006551230326294899,0.002382913837209344,0.0006034463294781744,0.0015249291900545359,0.0019617509096860886,0.025640852749347687,0.09955878555774689,0.10747916996479034,0.0009080335148610175,0.0011600502766668797,0.0009996022563427687,0.0013811889803037047,0.004927490837872028,0.08447274565696716
M5,0.016272766515612602,0.009363096207380295,0.03220449388027191,0.0004244550073053688,0.031629420816898346,0.0037950794212520123,0.42246177792549133,0.10895603150129318,0.02260085940361023,0.027319801971316338,0.03379405289888382,0.005991343408823013,0.002962521044537425,0.0007449864642694592,0.004266904667019844,0.0005230815149843693,0.0011349705746397376,0.0023373726289719343,0.015515611506998539,0.0016440155450254679,0.004667697474360466,0.004492304753512144,0.0023868167772889137,0.00767755089327693,0.0033367180731147528,0.003762079868465662,0.0008753046859055758,0.0035126858856528997,0.003550604684278369,0.0004706332692876458,0.00039084028685465455,0.006096069701015949,0.006855525076389313,0.0004695357056334615,0.007226258050650358,0.0006632576696574688,0.004509164951741695,0.0004563485272228718,0.004825228359550238,0.0012730415910482407,0.007401491980999708,0.0017794168088585138,0.0009448865312151611,0.008815240114927292,0.010010791942477226,0.03513526916503906,0.03842673823237419,0.0044711884111166,0.0011116506066173315,0.002247708849608898,0.003907809033989906,0.0005195434205234051,0.00429834658280015,0.0030760173685848713,0.0003016693517565727,0.0005307139945216477,0.005330807063728571,0.0009443699382245541,0.00034400055301375687,0.0004378054873086512,0.0014372689183801413,0.010486418381333351,0.0009170499397441745,0.001247370382770896,0.012212198227643967,0.0005016240756958723,0.00035122199915349483,0.0008806763216853142,0.00895383208990097,0.0025775569956749678,0.004375862423330545,0.0010753435781225562,0.0022682673297822475,0.0011651250533759594,0.00041290593799203634,0.002691959496587515,0.006487363018095493,0.0004821463371627033
M6,0.00810999795794487,0.023665301501750946,0.003832074347883463,0.149018794298172,0.02315453812479973,0.007374999113380909,0.0010184504790231586,0.0008518170798197389,0.0004563139518722892,0.0036519900895655155,0.06166457757353783,0.0038512260653078556,0.0010222700657323003,0.0005120703717693686,0.0028096523601561785,0.002260096836835146,0.0004365617933217436,0.025539183989167213,0.021354056894779205,0.0010550770675763488,0.0025766179896891117,0.017738334834575653,0.0007455032900907099,0.00201875576749444,0.05000227689743042,0.013538725674152374,0.0023565227165818214,0.006033934652805328,0.03722290322184563,0.0007964140386320651,0.014841576106846333,0.0050120884552598,0.019177090376615524,0.004037654493004084,0.0006185444071888924,0.026777582243084908,0.027152450755238533,0.0008185676415450871,0.0039594778791069984,0.006327667273581028,0.006487947888672352,0.0006659264909103513,0.018010219559073448,0.0008626095368526876,0.0008608686621300876,0.061797477304935455,0.09693501889705658,0.001870346604846418,0.0017590222414582968,0.00027823515119962394,0.0059261927381157875,0.011653145775198936,0.0009863631566986442,0.0007865724619477987,0.00023774598957970738,0.0002790931612253189,0.017984820529818535,0.010775811970233917,0.0018268125131726265,0.002055186778306961,0.006018516607582569,0.00028266728622838855,0.0006637306651100516,0.0019660505931824446,0.01058275531977415,0.0005590550135821104,0.0003596497990656644,0.0010938396444544196,0.009506884962320328,0.005042517092078924,0.0007821234175935388,0.0007215369259938598,0.011386644095182419,0.004091935697942972,0.0009115171269513667,0.10221736878156662,0.016650009900331497,0.0017320195911452174
M7,0.025277113541960716,0.09115629643201828,0.005806500092148781,0.00195449055172503,0.0066748810932040215,0.033081285655498505,0.0037448229268193245,0.013503100723028183,0.008668359369039536,0.019497830420732498,0.03130296617746353,0.005387871991842985,0.01578933373093605,0.0166529081761837,0.002050335519015789,0.0029188760090619326,0.01583796925842762,0.0936369076371193,0.09355480968952179,0.009096577763557434,0.02558990567922592,0.025380538776516914,0.0013049464905634522,0.005886168219149113,0.007173395715653896,0.015466993674635887,0.0054407864809036255,0.019795162603259087,0.011782001703977585,0.020819514989852905,0.01032273843884468,0.0013059224002063274,0.0026983562856912613,0.0011279094032943249,0.01685243472456932,0.004249604884535074,0.01352804247289896,0.004022842273116112,0.0042977286502718925,0.015038243494927883,0.0036173206754028797,0.0017896373756229877,0.0016066739335656166,0.014382376335561275,0.0016746234614402056,0.011405015364289284,0.042914919555187225,0.0027820002287626266,0.003211421426385641,0.003274917136877775,0.006388713605701923,0.0029578846879303455,0.005467722192406654,0.0018417321844026446,0.004149377811700106,0.0028529695700854063,0.004006366245448589,0.0009822914144024253,0.002396476222202182,0.0037143193185329437,0.002625077962875366,0.0008428721921518445,0.0016108154086396098,0.02776169404387474,0.0033932586666196585,0.004855820909142494,0.001640490023419261,0.007406200282275677,0.003611413761973381,0.006948831956833601,0.011629501357674599,0.05259675905108452,0.0015235613100230694,0.0020807324908673763,0.0020176456309854984,0.016986912116408348,0.009658575989305973,0.013716598972678185
M8,0.13167987763881683,0.008495459333062172,0.006138693541288376,0.002126196166500449,0.003076413180679083,0.10674479603767395,0.0032883123494684696,0.009093398228287697,0.017544163390994072,0.002519316505640745,0.007114955224096775,0.003455091267824173,0.00629442511126399,0.014957292005419731,0.021282551810145378,0.0017586549511179328,0.005384715273976326,0.016163025051355362,0.002495178487151861,0.01872735470533371,0.032266128808259964,0.005043547600507736,0.0053551881574094296,0.020589128136634827,0.036504872143268585,0.003186008194461465,0.05174725130200386,0.024314366281032562,0.001277401577681303,0.0021059121936559677,0.0028775145765393972,0.002242469694465399,0.06383095681667328,0.0007752440869808197,0.0060326955281198025,0.004433783702552319,0.019642548635601997,0.009237805381417274,0.009786145761609077,0.004156869370490313,0.024907810613512993,0.0018812918569892645,0.0047559286467731,0.012781089171767235,0.002807790879160166,0.004167572595179081,0.004051460884511471,0.006777581758797169,0.0035241448786109686,0.003515964839607477,0.08438216149806976,0.004043131601065397,0.013361791148781776,0.0010215251240879297,0.0020256293937563896,0.004090983420610428,0.013322876766324043,0.0010840449249371886,0.001588028622791171,0.002685106359422207,0.0302285049110651,0.0015729983570054173,0.0037034647539258003,0.018756967037916183,0.01626434549689293,0.011805055662989616,0.000594638055190444,0.0030361320823431015,0.0018410502234473825,0.0035694425459951162,0.0016509718261659145,0.0020839753560721874,0.001455951016396284,0.0020371945574879646,0.0013004436623305082,0.0059848143719136715,0.002348311711102724,0.0012440967839211226
M9,0.03757361322641373,0.02523566409945488,0.047446638345718384,0.0012273574247956276,0.06561106443405151,0.01071013044565916,0.005847039632499218,0.0016610684106126428,0.0012827025493606925,0.0021176531445235014,0.1584572196006775,0.010948041453957558,0.0013023861683905125,0.00033639249159023166,0.0046255807392299175,0.0001073005551006645,0.0005885681021027267,0.036189205944538116,0.040009524673223495,0.009268620051443577,0.0038183978758752346,0.011849801056087017,0.000498289184179157,0.007559511810541153,0.00805283896625042,0.020288793370127678,0.002615475095808506,0.0038319379091262817,0.015031796880066395,0.0002047922316705808,0.004811515100300312,0.005200750194489956,0.0010538320057094097,0.0001810959365684539,0.0009699771762825549,0.00027707635308615863,0.013912765309214592,0.00026230583898723125,0.016049878671765327,0.001721171080134809,0.004563710652291775,0.002066248096525669,0.004933731630444527,0.03350643068552017,0.0008764064405113459,0.09849553555250168,0.13362348079681396,0.016617652028799057,0.001337496330961585,0.0014827995328232646,0.011102927848696709,0.00016357595450244844,0.020518705248832703,0.0018831307534128428,0.0003150863340124488,5.312381108524278e-05,0.008745692670345306,0.0019306662725284696,0.00012172750575700775,0.0002763854281511158,0.0008387516718357801,0.004175788722932339,0.00010494592424947768,0.000371005036868155,0.010872185230255127,0.00016573708853684366,0.00014092173660174012,0.003478497266769409,0.005415366031229496,0.004375991877168417,0.0026602118741720915,0.0005259224562905729,0.013125501573085785,0.0028790077194571495,0.0003707044234033674,0.022866150364279747,0.005504559725522995,0.0007764250040054321
M10,0.0009997781598940492,0.03421173617243767,0.002361604478210211,0.28470802307128906,0.0032214794773608446,0.002767126075923443,0.0002549806085880846,0.00047267499030567706,0.00021545524941757321,0.0024147150106728077,0.05773540213704109,0.0013098943745717406,0.0009170150151476264,0.00041505650733597577,0.0002755329478532076,0.0013671478955075145,0.00016255525406450033,0.010582808405160904,0.03487275540828705,0.002442693104967475,0.0006916204001754522,0.013571670278906822,0.0024459445849061012,0.001640388392843306,0.06398701667785645,0.012568359263241291,0.002093592192977667,0.0024168253876268864,0.017218543216586113,0.0004768549697473645,0.007839465513825417,0.006758823990821838,0.020215265452861786,0.00431486964225769,0.00045633764239028096,0.03318662941455841,0.023021060973405838,0.00038899265928193927,0.004454548470675945,0.008593779057264328,0.004683010280132294,0.00024414260406047106,0.01963692344725132,0.0005640054005198181,0.00035745263448916376,0.08071798086166382,0.013543941080570221,0.0005106974858790636,0.00061955233104527,0.000152957858517766,0.01124989241361618,0.003950594458729029,0.001486524473875761,0.00033344514667987823,0.0001746673951856792,0.0001592751796124503,0.021492067724466324,0.0056640529073774815,0.0014018274378031492,0.0005695626605302095,0.006872918456792831,0.0002790010184980929,0.0017117897514253855,0.0016814593691378832,0.0101424939930439,0.0006778627284802496,0.0001863666984718293,0.0007038831827230752,0.005204576067626476,0.001564704580232501,0.0005212510004639626,0.00038359794416464865,0.010157233104109764,0.00340975821018219,0.0002634892298374325,0.0979704037308693,0.021966082975268364,0.0007414823630824685
M11,0.039648767560720444,0.007548118010163307,0.011762693524360657,0.006477192044258118,0.036182232201099396,0.0095287524163723,0.0028435830026865005,0.0021454263478517532,0.002540315268561244,0.002426354680210352,0.03084644116461277,0.0021339580416679382,0.0006010556244291365,0.0007466754177585244,0.0006672248709946871,0.0014569632476195693,0.0011559954145923257,0.033612120896577835,0.005643870681524277,0.0015864894958212972,0.0020853993482887745,0.015893420204520226,0.00022507412359118462,0.0017038170481100678,0.005139382556080818,0.01213033962994814,0.0013306584442034364,0.010831141844391823,0.05273342877626419,0.001397203654050827,0.003814317286014557,0.0012946894858032465,0.007396270986646414,0.0017838608473539352,0.004060555249452591,0.0028247851878404617,0.016752159222960472,0.0002540478017181158,0.006726152263581753,0.001806291053071618,0.007022162899374962,0.0007292901282198727,0.009595053270459175,0.006677401252090931,0.0010344518814235926,0.014486491680145264,0.5022547841072083,0.005391521845012903,0.0054487925954163074,0.000239188942941837,0.011686044745147228,0.002826826646924019,0.0012022533919662237,0.0007425178191624582,0.0001814130664570257,0.00020787405082955956,0.004368874244391918,0.002596736652776599,0.001246828120201826,0.00046317349188029766,0.001043887110427022,0.00028381551965139806,0.0009488244540989399,0.005931858904659748,0.0029724398627877235,0.0001393029378959909,0.00012641222565434873,0.0018261584918946028,0.015505789779126644,0.003143083769828081,0.0003539335448294878,0.001276241848245263,0.0016658682143315673,0.0019462327472865582,0.00034813780803233385,0.015278262086212635,0.01842571794986725,0.0006450887885876
M12,0.007987914606928825,0.003939696587622166,0.0007923107477836311,0.00013400583702605218,0.003095693653449416,0.000760801020078361,0.587579607963562,0.15475086867809296,0.03191569074988365,0.034069620072841644,0.000910242204554379,0.0021426714956760406,0.002404825296252966,0.003626928199082613,0.0029336486477404833,0.00030189318931661546,0.0020625570323318243,0.0013708736514672637,0.003033021930605173,0.0006058677681721747,0.0033713718876242638,0.0038221515715122223,0.004480688367038965,0.008675552904605865,0.0014677793951705098,0.0015421471325680614,0.0002955228555947542,0.002872398355975747,0.001902458374388516,0.00020381568174343556,9.910818334901705e-05,0.0020158831030130386,0.0060702133923769,0.0003329452592879534,0.006105998530983925,0.0001117883512051776,0.0036695334129035473,0.00012931115634273738,0.0010402207262814045,0.001321961055509746,0.008742914535105228,0.000462686235550791,0.0007807642105035484,0.00405987398698926,0.013240670785307884,0.010850486345589161,0.004027293995022774,0.003493987023830414,0.0002491092309355736,0.00112410937435925,0.0012445111060515046,0.0004386647487990558,0.0007639522082172334,0.002422395395115018,0.00016190798487514257,0.0001041705982061103,0.0009755090577527881,0.0002828708675224334,0.00024832782219164073,0.0002655086573213339,0.0010762473102658987,0.009137489832937717,0.0006439032731577754,0.0005665145581588149,0.018295085057616234,0.00022951149730943143,0.0003637641202658415,0.00042333544115535915,0.008169203996658325,0.0022239205427467823,0.0011177940759807825,0.0012988288654014468,0.0008431851165369153,0.00032008381094783545,0.000253349426202476,0.0022883231285959482,0.004653197713196278,0.00020693302212748677
M13,0.030569395050406456,0.020665984600782394,0.024806123226881027,0.007283264771103859,0.04060109332203865,0.007234103512018919,0.01115345023572445,0.009574929252266884,0.008596879430115223,0.00719630578532815,0.048207640647888184,0.014842960052192211,0.0068274675868451595,0.008719180710613728,0.0072400434873998165,0.006641576066613197,0.010320791974663734,0.009719682857394218,0.027372878044843674,0.00946901086717844,0.00919532123953104,0.012107852846384048,0.008707154542207718,0.011309409514069557,0.011399880051612854,0.019052159041166306,0.00715088052675128,0.008081278763711452,0.008342006243765354,0.007741520181298256,0.008064626716077328,0.007138097193092108,0.010913792997598648,0.006104183383285999,0.009978254325687885,0.009125499054789543,0.014562181197106838,0.0071959784254431725,0.015825264155864716,0.008832643739879131,0.010469367727637291,0.007939711213111877,0.00766439363360405,0.022924505174160004,0.008772064000368118,0.04894925653934479,0.008493988774716854,0.01566006802022457,0.006474771071225405,0.035667985677719116,0.012665065936744213,0.007508293725550175,0.020124655216932297,0.012607157230377197,0.0062486170791089535,0.0060830870643258095,0.011403705924749374,0.011241968721151352,0.012247586622834206,0.007834354415535927,0.01848931983113289,0.007364207413047552,0.006716512143611908,0.0075334045104682446,0.04580571874976158,0.00698134396225214,0.013965568505227566,0.006017705425620079,0.008464628830552101,0.012923500500619411,0.009800510480999947,0.008350440301001072,0.010171614587306976,0.007361972704529762,0.00620550150051713,0.009207472205162048,0.008914818055927753,0.006874386221170425
